superCategoryId,categoryId,categoryName
root,food,飲食模擬店
root,live,音楽・バンド
root,performance,公演・コンテスト
root,attract,体験・相談
root,lecture,講演会
root,dance,ダンス
root,game,ゲーム
root,goods,物品販売
root,exhibition,展示会
root,theater,上映会
food,fried,揚げ物
food,flour,粉もの
food,sweets,スイーツ
food,meat,肉類
food,drink,飲み物
food,bread,パン・ホットドッグ
food,soup,鍋・汁物
food,noodle,麺類
food,steak,ステーキ
food,potato,ポテト
food,churro,チュロス
food,tapioca,タピオカ
food,yakisoba,焼きそば
food,frank,フランクフルト
food,cafe,喫茶・カフェ
food,skewers,串・焼き鳥
food,gyoza,餃子
food,foreign,世界の料理
